,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,45,Jaleel,McLaughlin,DEN,17,106,,,,,410,1,76,36,160,2,31,,,,,,,,,,
RB,46,Roschon,Johnson,CHI,15,102.1,,,,,352,2,81,40,209,0,34,,,,,,,,,,
RB,47,Ty,Chandler,MIN,13,101,,,,,461,3,102,25,159,0,21,,,,,,,,,,
RB,48,Kenneth,Gainwell,PHI,16,96.7,,,,,364,2,84,37,183,0,30,,,,,,,,,,
RB,49,Miles,Sanders,CAR,16,91.6,,,,,432,1,129,41,154,0,27,,,,,,,,,,
RB,50,Rico,Dowdle,DAL,16,91.5,,,,,361,2,89,22,144,2,17,,,,,,,,,,
RB,51,DOnta,Foreman,CHI,9,91.2,,,,,425,4,109,16,77,1,11,,,,,,,,,,
RB,52,Latavius,Murray,BUF,15,82.9,,,,,300,4,79,22,119,0,17,,,,,,,,,,
RB,53,Jerick,McKinnon,KC,12,80.2,,,,,60,1,21,32,192,4,25,,,,,,,,,,
RB,54,Dameon,Pierce,HOU,13,76.7,,,,,416,2,145,17,101,0,13,,,,,,,,,,
RB,55,Zamir,White,LV,13,75.9,,,,,451,1,104,19,98,0,15,,,,,,,,,,
RB,56,Emari,Demercado,ARI,11,73.3,,,,,284,2,58,30,119,0,21,,,,,,,,,,
RB,57,Clyde,Edwards-Helaire,KC,15,70.1,,,,,223,1,70,22,188,1,17,,,,,,,,,,
RB,58,Keaton,Mitchell,BAL,7,69.9,,,,,396,2,47,11,93,0,9,,,,,,,,,,
RB,59,Joshua,Kelley,LAC,17,63.7,,,,,405,2,107,12,32,0,8,,,,,,,,,,
RB,60,Jamaal,Williams,NO,13,60.8,,,,,306,1,106,20,62,0,18,,,,,,,,,,
RB,61,Michael,Carter,NYJ,15,58.8,,,,,187,0,30,31,101,1,24,,,,,,,,,,
RB,62,Chase,Brown,CIN,10,53.5,,,,,179,0,44,15,156,1,14,,,,,,,,,,
RB,63,Elijah,Mitchell,SF,11,47.5,,,,,281,2,75,8,14,0,6,,,,,,,,,,
RB,64,Matt,Breida,NYG,15,46.9,,,,,151,1,55,21,88,0,17,,,,,,,,,,
RB,65,Cam,Akers,LAR,7,46.7,,,,,167,2,60,12,70,0,11,,,,,,,,,,
RB,66,Royce,Freeman,LAR,9,46.2,,,,,319,2,77,2,13,0,1,,,,,,,,,,
RB,67,Pierre,Strong,CLE,13,44.8,,,,,291,1,63,8,47,0,5,,,,,,,,,,
RB,68,Jordan,Mason,SF,9,44.7,,,,,206,3,40,4,31,0,3,,,,,,,,,,
RB,69,Dalvin,Cook,NYJ,14,44.2,,,,,214,0,67,20,78,0,15,,,,,,,,,,
RB,70,Darrell,Henderson,LAR,4,43.5,,,,,112,2,46,14,103,0,10,,,,,,,,,,
RB,71,Kendre,Miller,NO,7,43.3,,,,,156,1,41,11,117,0,10,,,,,,,,,,
RB,72,Salvon,Ahmed,MIA,7,42.9,,,,,61,1,22,23,88,1,16,,,,,,,,,,
RB,73,Jeff,Wilson,MIA,9,41.3,,,,,188,0,41,17,85,0,14,,,,,,,,,,
RB,74,Ameer,Abdullah,LV,16,41,,,,,89,0,15,24,131,0,19,,,,,,,,,,
RB,75,Chris,Rodriguez,WAS,8,39.9,,,,,247,2,51,2,12,0,2,,,,,,,,,,
RB,76,Chase,Edmonds,TB,13,39.7,,,,,176,0,49,17,81,0,14,,,,,,,,,,
RB,77,Kyle,Juszczyk,SF,10,38.5,,,,,6,0,5,17,119,2,14,,,,,,,,,,
RB,78,Cordarrelle,Patterson,ATL,12,36.9,,,,,181,0,50,12,38,1,9,,,,,,,,,,
RB,79,Andrew,Beck,HOU,11,34.8,,,,,3,1,5,13,55,2,11,,,,,,,,,,
RB,80,DErnest,Johnson,JAC,15,34.8,,,,,108,0,41,12,140,0,10,,,,,,,,,,
RB,81,Craig,Reynolds,DET,7,33.6,,,,,179,1,41,5,47,0,5,,,,,,,,,,
RB,82,Ty,Johnson,BUF,7,32.4,,,,,132,0,30,7,62,1,7,,,,,,,,,,
RB,83,Tony,Jones,NO,6,32.2,,,,,95,2,26,10,37,0,7,,,,,,,,,,
RB,84,Darrynton,Evans,CHI,6,30,,,,,121,1,32,12,49,0,7,,,,,,,,,,
RB,85,Patrick,Taylor,GB,10,30,,,,,141,0,32,17,49,0,11,,,,,,,,,,
RB,86,Tank,Bigsby,JAC,13,26.8,,,,,132,2,50,4,6,0,1,,,,,,,,,,
RB,87,Alec,Ingold,MIA,10,24.9,,,,,0,0,2,16,119,0,13,,,,,,,,,,
RB,88,Nick,Chubb,CLE,2,23.1,,,,,170,0,28,4,21,0,4,,,,,,,,,,
RB,89,Melvin,Gordon,BAL,4,21.7,,,,,81,1,26,3,46,0,3,,,,,,,,,,
RB,90,Kevin,Harris,NE,4,21.3,,,,,65,1,16,3,58,0,3,,,,,,,,,,
RB,91,Trey,Sermon,IND,8,20.3,,,,,160,0,35,6,13,0,3,,,,,,,,,,
RB,92,Ronnie,Rivers,LAR,7,20.1,,,,,129,0,32,5,22,0,5,,,,,,,,,,
RB,93,Damien,Harris,BUF,6,19,,,,,94,1,23,2,16,0,2,,,,,,,,,,
RB,94,Isaiah,Spiller,LAC,9,19,,,,,96,0,37,6,34,0,6,,,,,,,,,,
RB,95,Israel,Abanikanda,NYJ,6,18.3,,,,,70,0,22,11,43,0,7,,,,,,,,,,
RB,96,Tyler,Goodson,IND,6,18.1,,,,,87,0,13,9,34,0,6,,,,,,,,,,
RB,97,Boston,Scott,PHI,10,17.8,,,,,86,0,20,6,52,0,4,,,,,,,,,,
RB,98,Patrick,Ricard,BAL,6,16.2,,,,,0,0,0,7,52,1,5,,,,,,,,,,
RB,99,Raheem,Blackshear,CAR,8,15.1,,,,,46,0,14,7,45,0,6,,,,,,,,,,
